Food Name,Category Name,Calcium,Calories,Carbs,Cholesterol,Copper,Fats,Fiber,Folate,Iron,Magnesium,Monounsaturated Fat,Net carbs,Omega-3 - DHA,Omega-3 - DPA,Omega-3 - EPA,Phosphorus,Polyunsaturated fat,Potassium,Protein,Saturated Fat,Selenium,Sodium,Trans Fat,Vitamin A (IU),Vitamin A RAE,Vitamin B1,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Zinc,Choline,Fructose,Histidine,Isoleucine,Leucine,Lysine,Manganese,Methionine,Phenylalanine,Starch,Sugar,Threonine,Tryptophan,Valine,Vitamin D,Vitamin E,Vitamin K,Omega-3 - ALA,Omega-6 - Eicosadienoic acid,Omega-6 - Gamma-linoleic acid,Omega-3 - Eicosatrienoic acid,Omega-6 - Dihomo-gamma-linoleic acid,Omega-6 - Linoleic acid,Omega-6 - Arachidonic acid
Marinara sauce,Sauces,0.027,51.0,8.1,0.002,8e-05,1.5,1.8,1.3e-05,0.00078,0.018,0.38,6.3,0.0,0.0,0.0,0.034,0.51,0.319,1.4,0.17,1.1e-06,0.03,,650.0,3.3e-05,2e-05,0.0,5.9999999999999995e-05,0.0039,,0.00017,0.002,0.0002,0.014,,,,,,0.00014000000000000001,,,,5.5,,,,0.0,0.0024,1.4e-05,,,,,,,
Tomato paste,Sauces,0.036,82.0,19.0,0.0,0.00037,0.47,4.1,1.2e-05,0.003,0.042,0.07,15.0,0.0,0.0,0.0,0.083,0.16,1.014,4.3,0.1,5.3e-06,0.059,0.0,1525.0,7.6e-05,5.9999999999999995e-05,0.0,0.00015,0.0031,0.00014000000000000001,0.00022,0.022,0.00063,0.039,5.9,7.000000000000001e-05,8.999999999999999e-05,0.00011999999999999999,0.00013000000000000002,0.0003,2.9999999999999997e-05,0.00013000000000000002,0.22,12.0,0.00013000000000000002,2.9999999999999997e-05,8.999999999999999e-05,0.0,0.0043,1.1e-05,,,,,,,
Ketchup,Sauces,0.015,101.0,27.0,0.0,8.999999999999999e-05,0.1,0.3,9e-06,0.00035,0.013,0.02,27.0,0.0,0.0,0.0,0.026,0.04,0.281,1.0,0.01,7e-07,0.907,0.0,527.0,2.6e-05,1e-05,0.0,0.00017,0.0014,5e-05,0.00016,0.0040999999999999995,0.00017,0.013,8.7,1e-05,1e-05,2e-05,2e-05,8e-05,1e-05,2e-05,,21.0,2e-05,1e-05,1e-05,0.0,0.0015,3e-06,,,,,,,
Soy milk,Beverages,0.025,54.0,6.3,0.0,0.00013000000000000002,1.8,0.6,1.8e-05,0.00064,0.025,0.4,5.7,0.0,0.0,0.0,0.052,0.96,0.118,3.3,0.21,4.8e-06,0.051,0.0,3.0,0.0,5.9999999999999995e-05,0.0,7.000000000000001e-05,0.00051,0.00037,8e-05,0.0,0.00011999999999999999,0.024,,5.9999999999999995e-05,0.00011,0.00019,0.00013000000000000002,0.00022,2.9999999999999997e-05,0.00011,,4.0,0.00011,4e-05,0.00011999999999999999,0.0,0.00011,3e-06,,0.0,,,,,
Soy sauce,Sauces,0.033,53.0,4.9,0.0,4e-05,0.57,0.8,1.4e-05,0.0015,0.074,0.09,4.1,0.0,0.0,0.0,0.166,0.26,0.435,8.1,0.07,5e-07,5.493,0.0,0.0,0.0,2.9999999999999997e-05,0.0,0.00017,0.0022,0.0003,0.00015,0.0,0.00087,0.018,0.0,0.00017,0.00032,0.00054,0.00038,0.001,0.0001,0.00035,,0.4,0.00027,0.0001,0.00033,0.0,0.0,0.0,,,,,,,
Peanut butter,Nuts Breakfast,0.049,598.0,22.0,0.0,0.00041999999999999996,51.0,5.0,8.7e-05,0.0017,0.168,26.0,17.0,0.0,0.0,0.0,0.335,13.0,0.558,22.0,10.0,4.1e-06,0.017,0.08,0.0,0.0,0.00015,0.0,0.00019,0.013,0.0011,0.00044,0.0,0.0025,0.063,0.12,0.0005600000000000001,0.00062,0.0015,0.00068,0.0017,0.00027,0.0012,3.6,10.0,0.00053,0.00023,0.00078,0.0,0.0091,3e-07,0.03,0.01,0.0,0.01,0.0,12.0,
Tomato sauce,Sauces,0.014,24.0,5.3,0.0,0.00011999999999999999,0.3,1.5,9e-06,0.0009599999999999999,0.015,0.04,3.8,0.0,0.0,0.0,0.027,0.12,0.297,1.2,0.04,6e-07,0.011,0.0,435.0,2.2e-05,2e-05,0.0,7.000000000000001e-05,0.00099,0.00031,0.0001,0.007,0.00022,0.0099,1.7,2e-05,2.9999999999999997e-05,2.9999999999999997e-05,4e-05,0.00011,1e-05,4e-05,,3.6,4e-05,1e-05,2.9999999999999997e-05,0.0,0.0014,2.8e-06,,,,,,,
Apple juice,Beverages,0.008,46.0,11.0,0.0,1e-05,0.13,0.2,0.0,0.00011999999999999999,0.005,0.01,11.0,0.0,0.0,0.0,0.007,0.04,0.101,0.1,0.02,1.0000000000000001e-07,0.004,0.0,1.0,0.0,2e-05,0.0,2e-05,7.000000000000001e-05,5e-05,2e-05,0.0009,2e-05,0.0018,5.7,,,,,7.000000000000001e-05,,,,9.6,,,,0.0,1e-05,0.0,,,,,,,
Orange juice,Beverages,0.011,45.0,10.0,0.0,4e-05,0.2,0.2,3e-05,0.0002,0.011,0.04,10.0,0.0,0.0,0.0,0.017,0.04,0.2,0.7,0.02,1.0000000000000001e-07,0.001,0.0,200.0,1e-05,8.999999999999999e-05,0.0,2.9999999999999997e-05,0.0004,0.00019,4e-05,0.05,5e-05,0.0062,,0.0,1e-05,1e-05,1e-05,1e-05,0.0,1e-05,,8.4,1e-05,0.0,1e-05,0.0,4e-05,1.0000000000000001e-07,,,,,,,
Pineapple juice,Beverages,0.013,53.0,13.0,0.0,7.000000000000001e-05,0.12,0.2,1.8e-05,0.00031,0.012,0.01,13.0,0.0,0.0,0.0,0.008,0.04,0.13,0.36,0.01,1.0000000000000001e-07,0.002,0.0,5.0,0.0,5.9999999999999995e-05,0.0,2e-05,0.0002,5.9999999999999995e-05,0.0001,0.044,0.00011,0.0033,3.8,,,,,0.0005,,,,10.0,,,,0.0,2e-05,3e-07,,,,,,,
Oolong tea,Beverages,0.001,1.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.15,0.0,0.0,0.0,0.001,0.0,0.012,0.0,0.0,0.0,0.003,,0.0,0.0,0.0,0.0,0.0,5.9999999999999995e-05,0.0,0.0,0.0,1e-05,0.0,0.0,,,,,0.00020999999999999998,,,,0.0,,,,0.0,0.0,0.0,,,,,,,
